year,city,country,avg_temp
1820,Xian,China,9.55
1821,Xian,China,11.12
1822,Xian,China,11.16
1823,Xian,China,11.76
1824,Xian,China,
1825,Xian,China,
1826,Xian,China,
1827,Xian,China,
1828,Xian,China,
1829,Xian,China,
1830,Xian,China,
1831,Xian,China,
1832,Xian,China,
1833,Xian,China,
1834,Xian,China,
1835,Xian,China,
1836,Xian,China,
1837,Xian,China,21.19
1838,Xian,China,
1839,Xian,China,
1840,Xian,China,10.81
1841,Xian,China,10.26
1842,Xian,China,11.05
1843,Xian,China,11.12
1844,Xian,China,11.01
1845,Xian,China,10.91
1846,Xian,China,11.49
1847,Xian,China,11.24
1848,Xian,China,10.79
1849,Xian,China,10.94
1850,Xian,China,10.76
1851,Xian,China,10.70
1852,Xian,China,10.73
1853,Xian,China,11.05
1854,Xian,China,11.29
1855,Xian,China,11.20
1856,Xian,China,10.89
1857,Xian,China,10.91
1858,Xian,China,11.14
1859,Xian,China,11.38
1860,Xian,China,10.50
1861,Xian,China,10.69
1862,Xian,China,10.14
1863,Xian,China,11.15
1864,Xian,China,10.50
1865,Xian,China,11.14
1866,Xian,China,11.28
1867,Xian,China,10.43
1868,Xian,China,11.36
1869,Xian,China,11.59
1870,Xian,China,11.11
1871,Xian,China,11.36
1872,Xian,China,11.35
1873,Xian,China,11.58
1874,Xian,China,11.41
1875,Xian,China,11.25
1876,Xian,China,11.40
1877,Xian,China,10.92
1878,Xian,China,11.22
1879,Xian,China,11.43
1880,Xian,China,10.85
1881,Xian,China,11.23
1882,Xian,China,11.28
1883,Xian,China,10.85
1884,Xian,China,10.54
1885,Xian,China,10.58
1886,Xian,China,10.86
1887,Xian,China,10.91
1888,Xian,China,10.95
1889,Xian,China,11.00
1890,Xian,China,11.44
1891,Xian,China,11.42
1892,Xian,China,11.04
1893,Xian,China,10.95
1894,Xian,China,11.44
1895,Xian,China,10.83
1896,Xian,China,11.15
1897,Xian,China,11.01
1898,Xian,China,11.50
1899,Xian,China,11.36
1900,Xian,China,11.14
1901,Xian,China,11.28
1902,Xian,China,11.83
1903,Xian,China,11.05
1904,Xian,China,11.23
1905,Xian,China,10.39
1906,Xian,China,10.92
1907,Xian,China,11.31
1908,Xian,China,11.05
1909,Xian,China,11.23
1910,Xian,China,10.75
1911,Xian,China,10.80
1912,Xian,China,10.77
1913,Xian,China,11.04
1914,Xian,China,11.75
1915,Xian,China,11.20
1916,Xian,China,10.96
1917,Xian,China,10.97
1918,Xian,China,10.72
1919,Xian,China,11.64
1920,Xian,China,11.69
1921,Xian,China,11.25
1922,Xian,China,11.73
1923,Xian,China,11.64
1924,Xian,China,11.67
1925,Xian,China,11.50
1926,Xian,China,11.69
1927,Xian,China,11.89
1928,Xian,China,12.16
1929,Xian,China,11.65
1930,Xian,China,11.47
1931,Xian,China,11.62
1932,Xian,China,12.50
1933,Xian,China,11.88
1934,Xian,China,11.31
1935,Xian,China,11.68
1936,Xian,China,11.22
1937,Xian,China,11.51
1938,Xian,China,11.78
1939,Xian,China,12.16
1940,Xian,China,11.93
1941,Xian,China,12.61
1942,Xian,China,12.42
1943,Xian,China,11.82
1944,Xian,China,11.49
1945,Xian,China,12.18
1946,Xian,China,12.24
1947,Xian,China,11.99
1948,Xian,China,11.82
1949,Xian,China,11.80
1950,Xian,China,11.40
1951,Xian,China,11.48
1952,Xian,China,11.52
1953,Xian,China,12.03
1954,Xian,China,11.16
1955,Xian,China,11.70
1956,Xian,China,11.06
1957,Xian,China,11.58
1958,Xian,China,11.65
1959,Xian,China,11.92
1960,Xian,China,11.89
1961,Xian,China,12.03
1962,Xian,China,11.70
1963,Xian,China,11.48
1964,Xian,China,11.18
1965,Xian,China,11.82
1966,Xian,China,12.16
1967,Xian,China,10.96
1968,Xian,China,11.51
1969,Xian,China,11.47
1970,Xian,China,11.36
1971,Xian,China,11.52
1972,Xian,China,11.51
1973,Xian,China,12.23
1974,Xian,China,11.41
1975,Xian,China,11.55
1976,Xian,China,10.99
1977,Xian,China,12.04
1978,Xian,China,12.11
1979,Xian,China,12.05
1980,Xian,China,11.45
1981,Xian,China,11.56
1982,Xian,China,11.66
1983,Xian,China,11.32
1984,Xian,China,10.88
1985,Xian,China,11.32
1986,Xian,China,11.69
1987,Xian,China,12.26
1988,Xian,China,11.63
1989,Xian,China,11.48
1990,Xian,China,12.09
1991,Xian,China,11.79
1992,Xian,China,11.46
1993,Xian,China,11.17
1994,Xian,China,12.14
1995,Xian,China,12.25
1996,Xian,China,11.36
1997,Xian,China,12.50
1998,Xian,China,12.80
1999,Xian,China,12.70
2000,Xian,China,12.18
2001,Xian,China,12.43
2002,Xian,China,12.82
2003,Xian,China,11.90
2004,Xian,China,12.49
2005,Xian,China,12.24
2006,Xian,China,12.99
2007,Xian,China,12.77
2008,Xian,China,12.13
2009,Xian,China,12.53
2010,Xian,China,12.59
2011,Xian,China,12.08
2012,Xian,China,11.90
2013,Xian,China,14.46
